Link,Component,Description,Quantity ,Unit Cost / £ ,Additional Cost / £,Total Cost / £,Notes,Net cost / £
https://github.com/UpsidedownFalcon/IMU-Turntable/blob/main/build/CAD/3D%20Print%20Files/Base%203.3mf ,Base 3,Bambulab PLA Basic,1,-,-,-,0.2mm layer; 0.2mm initial layer; 0.42mm line width; 2 walls; 15% infill; 50mm/s initial layer; 105mm/s initial layer fill; 200mm/s outer wall; 300mm/s inner wall; tree support; 10000mm/s2 normal acceleration; 220C nozzle temperature; 55C bed temperature, 
https://github.com/UpsidedownFalcon/IMU-Turntable/blob/main/build/CAD/3D%20Print%20Files/Base%204.3mf ,Base 4,Bambulab PLA Basic,1,-,-,-,0.2mm layer; 0.2mm initial layer; 0.42mm line width; 2 walls; 15% infill; 50mm/s initial layer; 105mm/s initial layer fill; 200mm/s outer wall; 300mm/s inner wall; tree support; 10000mm/s2 normal acceleration; 220C nozzle temperature; 55C bed temperature, 
https://github.com/UpsidedownFalcon/IMU-Turntable/blob/main/build/CAD/3D%20Print%20Files/Base%20Post%201.3mf ,Base Post 1,Bambulab PLA Basic,1,-,-,-,0.2mm layer; 0.2mm initial layer; 0.42mm line width; 2 walls; 15% infill; 50mm/s initial layer; 105mm/s initial layer fill; 200mm/s outer wall; 300mm/s inner wall; tree support; 10000mm/s2 normal acceleration; 220C nozzle temperature; 55C bed temperature, 
https://github.com/UpsidedownFalcon/IMU-Turntable/blob/main/build/CAD/3D%20Print%20Files/Base%20Post%202.3mf ,Base Post 2,Bambulab PLA Basic,1,-,-,-,0.2mm layer; 0.2mm initial layer; 0.42mm line width; 2 walls; 15% infill; 50mm/s initial layer; 105mm/s initial layer fill; 200mm/s outer wall; 300mm/s inner wall; tree support; 10000mm/s2 normal acceleration; 220C nozzle temperature; 55C bed temperature, 
https://github.com/UpsidedownFalcon/IMU-Turntable/blob/main/build/CAD/3D%20Print%20Files/Base%20Post%203.3mf ,Base Post 3,Bambulab PLA Basic,1,-,-,-,0.2mm layer; 0.2mm initial layer; 0.42mm line width; 2 walls; 15% infill; 50mm/s initial layer; 105mm/s initial layer fill; 200mm/s outer wall; 300mm/s inner wall; tree support; 10000mm/s2 normal acceleration; 220C nozzle temperature; 55C bed temperature, 
https://github.com/UpsidedownFalcon/IMU-Turntable/blob/main/build/CAD/3D%20Print%20Files/Base%20Post%204.3mf ,Base Post 4,Bambulab PLA Basic,1,-,-,-,0.2mm layer; 0.2mm initial layer; 0.42mm line width; 2 walls; 15% infill; 50mm/s initial layer; 105mm/s initial layer fill; 200mm/s outer wall; 300mm/s inner wall; tree support; 10000mm/s2 normal acceleration; 220C nozzle temperature; 55C bed temperature, 
https://github.com/UpsidedownFalcon/IMU-Turntable/blob/main/build/CAD/3D%20Print%20Files/Base%20Rotary%20Encoder%20Bracket.3mf ,Base Rotary Encoder Bracket,Bambulab PLA Basic,1,-,-,-,0.2mm layer; 0.2mm initial layer; 0.42mm line width; 2 walls; 15% infill; 50mm/s initial layer; 105mm/s initial layer fill; 200mm/s outer wall; 300mm/s inner wall; tree support; 10000mm/s2 normal acceleration; 220C nozzle temperature; 55C bed temperature, 
https://github.com/UpsidedownFalcon/IMU-Turntable/blob/main/build/CAD/3D%20Print%20Files/Base%20Stepper%20Bracket.3mf ,Base Stepper Bracket ,Bambulab PLA Basic,1,-,-,-,0.2mm layer; 0.2mm initial layer; 0.42mm line width; 2 walls; 15% infill; 50mm/s initial layer; 105mm/s initial layer fill; 200mm/s outer wall; 300mm/s inner wall; tree support; 10000mm/s2 normal acceleration; 220C nozzle temperature; 55C bed temperature, 
https://github.com/UpsidedownFalcon/IMU-Turntable/blob/main/build/CAD/3D%20Print%20Files/IMU%20Carriage_Bottom.3mf ,IMU Carriage_Bottom,Bambulab PLA Basic,1,-,-,-,0.2mm layer; 0.2mm initial layer; 0.42mm line width; 2 walls; 15% infill; 50mm/s initial layer; 105mm/s initial layer fill; 200mm/s outer wall; 300mm/s inner wall; tree support; 10000mm/s2 normal acceleration; 220C nozzle temperature; 55C bed temperature, 
https://github.com/UpsidedownFalcon/IMU-Turntable/blob/main/build/CAD/3D%20Print%20Files/IMU%20Carriage_Top.3mf ,IMU Carriage_Top,Bambulab PLA Basic,1,-,-,-,0.2mm layer; 0.2mm initial layer; 0.42mm line width; 2 walls; 15% infill; 50mm/s initial layer; 105mm/s initial layer fill; 200mm/s outer wall; 300mm/s inner wall; tree support; 10000mm/s2 normal acceleration; 220C nozzle temperature; 55C bed temperature, 
https://github.com/UpsidedownFalcon/IMU-Turntable/blob/main/build/CAD/3D%20Print%20Files/TPU%20Universal%20Mount.3mf ,TPU Universal Mount,Bambulab 85A TPU,4,0.29,0.00,1.16,0.2mm layer height; 0.2mm initial layer height; 0.42mm line width; 2 walls; 15% gyroid infill; 10mm/s initial layer; 10mm/s initial layer fill; 25mm/s outer wall; 30mm/s inner wall; 25mm/s infill; tree support; 6000mm/s² normal acceleration; 220°C nozzle temperature; 55°C bed temperature; retraction 1.0mm @ 25mm/s; travel 80mm/s; fan 40% after 2 layers; combing on; coasting off; Z-hop 0.2mm, 
https://github.com/UpsidedownFalcon/IMU-Turntable/blob/main/build/CAD/3D%20Print%20Files/X%20Bobbin.3mf ,X Bobbin,Bambulab PLA Basic,1,-,-,-,0.2mm layer; 0.2mm initial layer; 0.42mm line width; 2 walls; 15% infill; 50mm/s initial layer; 105mm/s initial layer fill; 200mm/s outer wall; 300mm/s inner wall; tree support; 10000mm/s2 normal acceleration; 220C nozzle temperature; 55C bed temperature, 
https://github.com/UpsidedownFalcon/IMU-Turntable/blob/main/build/CAD/3D%20Print%20Files/X%20Bracket.3mf ,X Bracket ,Bambulab PLA Basic,1,-,-,-,0.2mm layer; 0.2mm initial layer; 0.42mm line width; 2 walls; 15% infill; 50mm/s initial layer; 105mm/s initial layer fill; 200mm/s outer wall; 300mm/s inner wall; tree support; 10000mm/s2 normal acceleration; 220C nozzle temperature; 55C bed temperature, 
https://github.com/UpsidedownFalcon/IMU-Turntable/blob/main/build/CAD/3D%20Print%20Files/Y%20Bobbin.3mf ,Y Bobbin ,Bambulab PLA Basic,1,-,-,-,0.2mm layer; 0.2mm initial layer; 0.42mm line width; 2 walls; 15% infill; 50mm/s initial layer; 105mm/s initial layer fill; 200mm/s outer wall; 300mm/s inner wall; tree support; 10000mm/s2 normal acceleration; 220C nozzle temperature; 55C bed temperature, 
https://github.com/UpsidedownFalcon/IMU-Turntable/blob/main/build/CAD/3D%20Print%20Files/Y%20Bracket%201.3mf ,Y Bracket 1,Bambulab PLA Basic,1,-,-,-,0.2mm layer; 0.2mm initial layer; 0.42mm line width; 2 walls; 15% infill; 50mm/s initial layer; 105mm/s initial layer fill; 200mm/s outer wall; 300mm/s inner wall; tree support; 10000mm/s2 normal acceleration; 220C nozzle temperature; 55C bed temperature, 
https://github.com/UpsidedownFalcon/IMU-Turntable/blob/main/build/CAD/3D%20Print%20Files/Y%20Bracket%202.3mf ,Y Bracket 2 ,Bambulab PLA Basic,1,-,-,-,0.2mm layer; 0.2mm initial layer; 0.42mm line width; 2 walls; 15% infill; 50mm/s initial layer; 105mm/s initial layer fill; 200mm/s outer wall; 300mm/s inner wall; tree support; 10000mm/s2 normal acceleration; 220C nozzle temperature; 55C bed temperature, 
https://github.com/UpsidedownFalcon/IMU-Turntable/blob/main/build/CAD/3D%20Print%20Files/Z%20Plate.3mf ,Z Plate,Bambulab PLA Basic,1,-,-,-,0.2mm layer; 0.2mm initial layer; 0.42mm line width; 2 walls; 15% infill; 50mm/s initial layer; 105mm/s initial layer fill; 200mm/s outer wall; 300mm/s inner wall; tree support; 10000mm/s2 normal acceleration; 220C nozzle temperature; 55C bed temperature, 
-,Cost of all PLA parts from Bambu Studio slicer,-,1,16.13,0.00,16.13,,
